State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra, Pune, Pune, Local, Vegetables, 1103, 400, 1400, 900, "17 May 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1541.3, 600, 2000, 1300, "02 Jun 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1174, 800, 2400, 1600, "29 May 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 793.6, 800, 2400, 1600, "18 Oct 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1352.3, 2000, 4600, 3300, "29 Oct 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1410, 1600, 4800, 3200, "27 May 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 869.2, 800, 2200, 1500, "16 Jul 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 806.7, 1300, 3100, 2200, "17 Nov 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1310.4, 2200, 6000, 4100, "13 Feb 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1221.6, 1500, 3000, 2250, "02 Dec 2025"  
Maharashtra, Pune, Pune, Local, Vegetables, 1315.9, 2000, 6500, 4250, "22 Jul 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 737.8, 1200, 3000, 2100, "05 Mar 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1830.8, 600, 1800, 1200, "14 Jun 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1022.7, 800, 3000, 1900, "15 Mar 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 2338, 600, 1800, 1200, "27 Aug 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 999.9, 2500, 4100, 3300, "13 Jun 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 795.2, 1000, 3000, 2000, "16 Apr 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1238.2, 500, 1500, 1000, "31 May 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 1060.7, 900, 2500, 1700, "25 Sep 2024"  
Maharashtra, Pune, Pune, Local, Vegetables, 888.8, 3000, 4800, 3900, "08 Jan 2024"  
