State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra, Pune, Pune, Other, Fruits, 1.5, 800, 1600, 1200, "07 Oct 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.5, 800, 2000, 1400, "04 Oct 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.9, 1000, 2000, 1500, "03 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.2, 800, 1800, 1300, "15 Nov 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 2.4, 800, 2000, 1400, "08 Dec 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.8, 800, 1400, 1100, "23 Oct 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 3, 1000, 2000, 1500, "16 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 3.3, 800, 1600, 1200, "10 Dec 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 3.6, 800, 1200, 1000, "17 Sep 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 0.5, 800, 1800, 1300, "27 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.3, 800, 1400, 1100, "20 Sep 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.4, 800, 1600, 1200, "20 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 1.8, 800, 1800, 1300, "16 Dec 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 1.9, 800, 1400, 1100, "06 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.3, 800, 1200, 1000, "21 Feb 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.4, 800, 2000, 1400, "30 Oct 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 2.5, 5000, 7000, 6000, "16 Feb 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 3.4, 800, 2000, 1400, "13 Sep 2025"  
Maharashtra, Pune, Pune, Other, Fruits, 0.4, 800, 1600, 1200, "26 Nov 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 2.4, 800, 1400, 1100, "21 Jan 2024"  
Maharashtra, Pune, Pune, Other, Fruits, 3.2, 800, 2000, 1400, "13 Nov 2025"  
