State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra,Pune,Pune,Other,Vegetables,0.60,1400,1700,1550,"25 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,12.90,3000,8000,5500,"15 Dec 2024"
Maharashtra,Pune,Pune,Other,Vegetables,24.70,1000,2500,1750,"26 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,25.40,1000,4000,2500,"05 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,26.10,1000,4000,2500,"04 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,26.40,1000,3500,2250,"31 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,28.10,1000,2500,1750,"03 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,28.10,1000,4000,2500,"06 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,28.80,1000,3000,2000,"28 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,30.10,1000,2000,1500,"19 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,30.10,1000,2500,1750,"07 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,30.10,1000,3000,2000,"21 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,30.60,1000,3500,2250,"30 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,31.60,1200,2200,1700,"09 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,31.90,1000,3500,2250,"24 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,32.50,1000,3000,2000,"09 Sep 2024"
Maharashtra,Pune,Pune,Other,Vegetables,33.60,1000,4000,2500,"11 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,34.30,1500,5000,3250,"15 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,35.50,1000,2500,1750,"27 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,35.60,1000,2000,1500,"21 Aug 2024"
Maharashtra,Pune,Pune,Other,Vegetables,35.60,1000,5000,3000,"18 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,35.80,1000,2000,1500,"29 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,36.00,1000,2500,1750,"07 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,36.40,1000,4000,2500,"03 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,36.50,1000,3500,2250,"22 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,36.50,1000,4000,2500,"14 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,37.70,1000,2500,1750,"10 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,38.40,1000,2200,1600,"10 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,38.50,1000,3000,2000,"16 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,38.60,1000,2500,1750,"16 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,38.80,1000,2500,1750,"21 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,38.90,1000,2500,1750,"04 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,39.00,1000,2200,1600,"08 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,39.20,1000,4000,2500,"03 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,39.40,1500,4000,2750,"13 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,39.50,1000,5000,3000,"07 Nov 2024"
Maharashtra,Pune,Pune,Other,Vegetables,39.70,1000,2500,1750,"29 Jul 2024"
Maharashtra,Pune,Pune,Other,Vegetables,40.00,500,3000,1750,"09 Oct 2024"
Maharashtra,Pune,Pune,Other,Vegetables,40.20,1000,3000,2000,"26 Jun 2024"
Maharashtra,Pune,Pune,Other,Vegetables,40.20,1000,3200,2100,"20 May 2024"
Maharashtra,Pune,Pune,Other,Vegetables,40.30,1000,2500,1750,"24 Jun 2024"
