Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,District Name_Pune,Market Name_Pune,Price Range,Demand Indicator
 Other, Fruits,1.5,800,1600,1200,,False,False,800,0.0012489592006661116
 Other, Fruits,1.5,800,2000,1400,,False,False,1200,0.0010706638115631692
 Other, Fruits,1.9,1000,2000,1500,,False,False,1000,0.0012658227848101266
 Other, Fruits,2.2,800,1800,1300,,False,False,1000,0.0016910069177555728
 Other, Fruits,2.4,800,2000,1400,,False,False,1200,0.0017130620985010706
 Other, Fruits,2.8,800,1400,1100,,False,False,600,0.0025431425976385103
 Other, Fruits,3.0,1000,2000,1500,,False,False,1000,0.001998667554963358
 Other, Fruits,3.3,800,1600,1200,,False,False,800,0.0027477102414654453
 Other, Fruits,3.6,800,1200,1000,,False,False,400,0.0035964035964035964
 Other, Fruits,0.5,800,1800,1300,,False,False,1000,0.0003843197540353574
 Other, Fruits,1.3,800,1400,1100,,False,False,600,0.0011807447774750228
 Other, Fruits,1.4,800,1600,1200,,False,False,800,0.0011656952539550374
 Other, Fruits,1.8,800,1800,1300,,False,False,1000,0.0013835511145272868
 Other, Fruits,1.9,800,1400,1100,,False,False,600,0.0017257039055404177
 Other, Fruits,2.3,800,1200,1000,,False,False,400,0.0022977022977022977
 Other, Fruits,2.4,800,2000,1400,,False,False,1200,0.0017130620985010706
 Other, Fruits,2.5,5000,7000,6000,,False,False,2000,0.0004165972337943676
 Other, Fruits,3.4,800,2000,1400,,False,False,1200,0.0024268379728765166
 Other, Fruits,0.4,800,1600,1200,,False,False,800,0.00033305578684429644
 Other, Fruits,2.4,800,1400,1100,,False,False,600,0.0021798365122615805
 Other, Fruits,3.2,800,2000,1400,,False,False,1200,0.0022840827980014277
 Other, Fruits,3.4,800,2200,1400,,False,False,1400,0.0024268379728765166
 Other, Fruits,4.2,800,1400,1100,,False,False,600,0.0038147138964577656
 Other, Fruits,1.0,500,1300,900,,False,False,800,0.0011098779134295228
 Other, Fruits,1.0,800,2000,1400,,False,False,1200,0.0007137758743754461
 Other, Fruits,1.3,800,1400,1100,,False,False,600,0.0011807447774750228
 Other, Fruits,1.5,1000,2000,1500,,False,False,1000,0.000999333777481679
 Other, Fruits,1.9,800,1800,1300,,False,False,1000,0.0014604150653343582
 Other, Fruits,2.0,800,1400,1100,,False,False,600,0.0018165304268846503
 Other, Fruits,2.1,800,1400,1100,,False,False,600,0.0019073569482288828
 Other, Fruits,2.1,800,1500,1100,,False,False,700,0.0019073569482288828
 Other, Fruits,2.2,800,1400,1100,,False,False,600,0.0019981834695731154
 Other, Fruits,0.5,800,1200,1000,,False,False,400,0.0004995004995004995
 Other, Fruits,0.7,800,1400,1100,,False,False,600,0.0006357856494096276
 Other, Fruits,1.3,800,1400,1100,,False,False,600,0.0011807447774750228
 Other, Fruits,1.9,800,1600,1200,,False,False,800,0.001582014987510408
 Other, Fruits,2.1,800,1600,1200,,False,False,800,0.0017485428809325564
 Other, Fruits,2.1,800,1600,1200,,False,False,800,0.0017485428809325564
 Other, Fruits,2.3,1000,2000,1500,,False,False,1000,0.001532311792138574
 Other, Fruits,2.4,800,1400,1100,,False,False,600,0.0021798365122615805
 Other, Fruits,2.6,500,1500,1000,,False,False,1000,0.0025974025974025974
 Other, Fruits,3.1,800,1600,1200,,False,False,800,0.0025811823480432973
 Other, Fruits,4.8,1000,2000,1500,,False,False,1000,0.0031978680879413725
 Other, Fruits,6.2,800,1400,1100,,False,False,600,0.005631244323342416
 Other, Fruits,9.8,800,1800,1300,,False,False,1000,0.007532667179093006
 Other, Fruits,0.8,800,1600,1200,,False,False,800,0.0006661115736885929
 Other, Fruits,1.8,800,1600,1200,,False,False,800,0.001498751040799334
 Other, Fruits,2.3,800,1500,1100,,False,False,700,0.002089009990917348
 Other, Fruits,2.4,800,1400,1100,,False,False,600,0.0021798365122615805
 Other, Fruits,3.0,800,1400,1100,,False,False,600,0.0027247956403269754
 Other, Fruits,3.7,800,2000,1400,,False,False,1200,0.0026409707351891507
 Other, Fruits,4.3,800,1200,1000,,False,False,400,0.004295704295704295
 Other, Fruits,7.9,800,1600,1200,,False,False,800,0.006577851790174854
 Other, Fruits,0.7,800,1400,1100,,False,False,600,0.0006357856494096276
 Other, Fruits,1.1,800,1200,1000,,False,False,400,0.001098901098901099
 Other, Fruits,1.2,1000,2000,1500,,False,False,1000,0.0007994670219853431
 Other, Fruits,1.3,800,1600,1200,,False,False,800,0.0010824313072439634
 Other, Fruits,2.6,800,1200,1000,,False,False,400,0.0025974025974025974
 Other, Fruits,2.8,1000,3000,2000,,False,False,2000,0.0013993003498250873
 Other, Fruits,3.2,800,1600,1200,,False,False,800,0.0026644462947543715
 Other, Fruits,4.1,800,1600,1200,,False,False,800,0.003413821815154038
 Other, Fruits,1.0,800,1600,1200,,False,False,800,0.0008326394671107411
 Other, Fruits,1.1,800,1400,1100,,False,False,600,0.0009990917347865577
 Other, Fruits,1.6,800,1600,1200,,False,False,800,0.0013322231473771858
 Other, Fruits,1.9,800,1600,1200,,False,False,800,0.001582014987510408
 Other, Fruits,1.9,1000,2000,1500,,False,False,1000,0.0012658227848101266
 Other, Fruits,2.0,1000,1500,1200,,False,False,500,0.0016652789342214821
 Other, Fruits,3.6,1000,2000,1500,,False,False,1000,0.0023984010659560294
 Other, Fruits,4.6,800,1600,1200,,False,False,800,0.0038301415487094087
 Other, Fruits,0.8,800,1600,1200,,False,False,800,0.0006661115736885929
 Other, Fruits,0.8,800,2000,1400,,False,False,1200,0.0005710206995003569
 Other, Fruits,1.5,800,14000,1100,,False,False,13200,0.0013623978201634877
 Other, Fruits,2.0,800,1600,1200,,False,False,800,0.0016652789342214821
 Other, Fruits,2.4,800,1600,1200,,False,False,800,0.0019983347210657783
 Other, Fruits,5.2,1000,2000,1500,,False,False,1000,0.00346435709526982
 Other, Fruits,1.0,1000,1200,1100,,False,False,200,0.0009082652134423251
 Other, Fruits,1.0,1000,2000,1500,,False,False,1000,0.0006662225183211193
 Other, Fruits,1.6,800,1600,1200,,False,False,800,0.0013322231473771858
 Other, Fruits,1.8,800,1800,1300,,False,False,1000,0.0013835511145272868
 Other, Fruits,1.9,800,1400,1100,,False,False,600,0.0017257039055404177
 Other, Fruits,2.1,800,1600,1200,,False,False,800,0.0017485428809325564
 Other, Fruits,2.2,800,1600,1200,,False,False,800,0.0018318068276436306
 Other, Fruits,2.5,800,1200,1000,,False,False,400,0.0024975024975024975
 Other, Fruits,3.2,800,1400,1100,,False,False,600,0.0029064486830154405
 Other, Fruits,5.7,800,1400,1100,,False,False,600,0.0051771117166212535
 Other, Fruits,5.8,800,1600,1200,,False,False,800,0.004829308909242298
 Other, Fruits,0.9,800,1600,1200,,False,False,800,0.000749375520399667
 Other, Fruits,1.0,800,1600,1200,,False,False,800,0.0008326394671107411
 Other, Fruits,1.6,500,1500,1000,,False,False,1000,0.0015984015984015984
 Other, Fruits,1.9,800,1600,1200,,False,False,800,0.001582014987510408
 Other, Fruits,2.1,800,1400,1100,,False,False,600,0.0019073569482288828
 Other, Fruits,2.2,800,2000,1400,,False,False,1200,0.0015703069236259815
 Other, Fruits,2.4,800,1400,1100,,False,False,600,0.0021798365122615805
 Other, Fruits,2.4,1000,2000,1500,,False,False,1000,0.0015989340439706862
 Other, Fruits,2.9,600,1400,1000,,False,False,800,0.002897102897102897
 Other, Fruits,2.9,800,2000,1400,,False,False,1200,0.0020699500356887936
 Other, Fruits,3.0,800,1400,1100,,False,False,600,0.0027247956403269754
 Other, Fruits,3.3,800,1500,1100,,False,False,700,0.002997275204359673
 Other, Fruits,3.5,800,1600,1200,,False,False,800,0.0029142381348875937
 Other, Fruits,3.9,800,1600,1200,,False,False,800,0.00324729392173189
 Other, Fruits,4.1,800,1400,1100,,False,False,600,0.0037238873751135326
 Other, Fruits,4.5,800,1200,1000,,False,False,400,0.004495504495504496
 Other, Fruits,1.4,800,1500,1100,,False,False,700,0.0012715712988192551
 Other, Fruits,1.4,800,2000,1400,,False,False,1200,0.0009992862241256246
 Other, Fruits,1.8,800,1800,1300,,False,False,1000,0.0013835511145272868
 Other, Fruits,3.2,800,1300,1000,,False,False,500,0.003196803196803197
 Other, Fruits,3.2,800,1600,1200,,False,False,800,0.0026644462947543715
 Other, Fruits,3.3,800,1400,1100,,False,False,600,0.002997275204359673
 Other, Fruits,0.7,1000,2000,1500,,False,False,1000,0.00046635576282478343
 Other, Fruits,1.5,800,1600,1200,,False,False,800,0.0012489592006661116
 Other, Fruits,1.5,1000,2000,1500,,False,False,1000,0.000999333777481679
 Other, Fruits,1.6,800,1200,1000,,False,False,400,0.0015984015984015984
 Other, Fruits,3.4,800,1800,1300,,False,False,1000,0.0026133743274404306
 Other, Fruits,4.0,800,1600,1200,,False,False,800,0.0033305578684429643
 Other, Fruits,5.5,1000,2000,1500,,False,False,1000,0.0036642238507661557
 Other, Fruits,0.5,500,1500,1000,,False,False,1000,0.0004995004995004995
 Other, Fruits,1.0,800,1400,1100,,False,False,600,0.0009082652134423251
 Other, Fruits,1.5,800,1400,1100,,False,False,600,0.0013623978201634877
 Other, Fruits,1.9,800,2000,1400,,False,False,1200,0.0013561741613133476
 Other, Fruits,2.7,800,2000,1400,,False,False,1200,0.0019271948608137045
 Other, Fruits,2.8,800,1200,1000,,False,False,400,0.002797202797202797
 Other, Fruits,3.0,800,1600,1200,,False,False,800,0.002497918401332223
 Other, Fruits,3.3,800,2000,1400,,False,False,1200,0.002355460385438972
 Other, Fruits,3.5,800,1800,1300,,False,False,1000,0.002690238278247502
 Other, Fruits,3.5,800,2000,1400,,False,False,1200,0.0024982155603140615
 Other, Fruits,8.4,800,1400,1100,,False,False,600,0.007629427792915531
 Other, Fruits,0.3,800,2000,1400,,False,False,1200,0.00021413276231263382
