State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra,Pune,Pune,Local,Vegetables,116.8,600,2500,1550,"17 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,133.2,2000,4000,3000,"20 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,138.6,2500,5000,3750,"29 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,144,1000,2200,1600,"21 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,161.3,1000,4500,2750,"18 Mar 2024"
Maharashtra,Pune,Pune,Local,Vegetables,170.8,1000,1600,1300,"28 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,179.2,600,3000,1800,"23 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,196.5,500,1200,850,"15 Mar 2025"
Maharashtra,Pune,Pune,Local,Vegetables,206.4,1000,1800,1400,"01 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,220.5,600,2500,1550,"15 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,232.3,600,1400,1000,"08 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,261.1,600,2000,1300,"07 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,109.5,1500,6000,3750,"22 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,118.7,2500,6500,4500,"02 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,136.4,1000,4500,2750,"10 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,165.7,1500,4500,3000,"20 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,173.1,1000,3000,2000,"19 Apr 2024"
Maharashtra,Pune,Pune,Local,Vegetables,176.6,600,1400,1000,"12 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,176.6,600,2000,1300,"24 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,191.5,1000,2500,1750,"28 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,191.6,1000,2200,1600,"27 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,211.6,600,1200,900,"05 Nov 2025"
Maharashtra,Pune,Pune,Local,Vegetables,217.5,600,2000,1550,"26 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,222.8,1500,4500,3000,"18 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,259.4,1000,1600,1300,"31 Mar 2024"
Maharashtra,Pune,Pune,Local,Vegetables,298.3,600,1400,1000,"19 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,317.3,500,1000,750,"11 Aug 2025"
Maharashtra,Pune,Pune,Local,Vegetables,331.7,600,2000,1300,"12 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,2996,600,1500,1050,"29 Oct 2025"
Maharashtra,Pune,Pune,Local,Vegetables,0.3,4000,7000,5500,"03 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,99.8,600,2000,1300,"03 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,108.1,1200,3500,2350,"15 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,112.4,2000,6000,4000,"21 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,120.8,1000,3000,2000,"20 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,137.4,600,1200,900,"05 Aug 2025"
Maharashtra,Pune,Pune,Local,Vegetables,150.5,1000,2000,1500,"09 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,161.7,1000,4500,2750,"31 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,163.8,1000,3000,2000,"23 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,177.1,1000,3500,2250,"06 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,180,600,2500,1550,"18 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,182.5,600,1200,900,"06 Mar 2025"
Maharashtra,Pune,Pune,Local,Vegetables,190.7,600,1600,1100,"12 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,192.2,1000,2500,1750,"06 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,194.3,600,2000,1300,"18 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,198.6,1500,4000,2750,"20 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,198.8,1000,2500,1750,"14 Mar 2024"
Maharashtra,Pune,Pune,Local,Vegetables,206.6,1000,1600,1300,"24 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,210,1000,4000,2500,"27 Mar 2024"
Maharashtra,Pune,Pune,Local,Vegetables,215.7,600,1400,1000,"21 Apr 2024"
Maharashtra,Pune,Pune,Local,Vegetables,234.8,600,1500,1050,"10 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,262.8,600,2000,1300,"10 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,277.5,500,1400,950,"26 Dec 2025"
Maharashtra,Pune,Pune,Local,Vegetables,280.9,1000,2200,1600,"13 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,281.6,600,2000,1300,"24 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,283,600,1200,900,"25 Sep 2025"
Maharashtra,Pune,Pune,Local,Vegetables,95.7,1000,3000,2000,"16 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,123.3,1000,4000,2500,"26 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,133.2,2000,4000,3000,"18 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,158.7,1000,4500,2750,"04 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,164.6,1000,5000,3000,"19 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,167.2,500,1200,850,"09 May 2025"
Maharashtra,Pune,Pune,Local,Vegetables,169.3,600,1400,1000,"11 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,171.8,600,3000,1800,"08 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,172.5,600,1400,1000,"08 Apr 2024"
Maharashtra,Pune,Pune,Local,Vegetables,174.5,600,1200,900,"19 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,203.9,2000,6500,4250,"10 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,205.7,600,2000,1300,"05 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,211.2,2000,5500,3750,"29 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,218.9,1000,4000,2500,"21 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,252.1,1000,2500,1750,"19 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,253.2,1000,3500,2250,"16 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,327.3,600,1200,900,"17 Jan 2025"
Maharashtra,Pune,Pune,Local,Vegetables,350.7,500,1200,850,"08 Dec 2025"
Maharashtra,Pune,Pune,Local,Vegetables,355.9,1000,2500,1750,"03 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,734,600,1200,900,"14 Jan 2025"
Maharashtra,Pune,Pune,Local,Vegetables,113.4,800,1500,1150,"06 Jun 2025"
Maharashtra,Pune,Pune,Local,Vegetables,123.2,1000,2800,1900,"04 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,123.7,1000,3000,2000,"27 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,165.4,1000,3500,2250,"23 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,167.6,1500,4000,2750,"13 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,170,1000,3500,2250,"16 Apr 2024"
Maharashtra,Pune,Pune,Local,Vegetables,175.2,600,1200,900,"27 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,196.2,1500,4000,2750,"08 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,205.7,1000,2500,1750,"28 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,213.2,600,2000,1300,"30 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,223.2,500,2000,1250,"30 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,229.9,600,1200,900,"28 Jan 2025"
Maharashtra,Pune,Pune,Local,Vegetables,237.6,6000,15000,10500,"14 Jun 2025"
Maharashtra,Pune,Pune,Local,Vegetables,245.2,1500,3500,2500,"27 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,257.7,600,2000,1300,"30 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,261.3,1000,1600,1300,"17 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,58.4,3000,7500,5220,"12 Jun 2024"
Maharashtra,Pune,Pune,Local,Vegetables,107.4,1500,4500,3000,"23 Dec 2024"
Maharashtra,Pune,Pune,Local,Vegetables,142.7,1000,2500,1750,"18 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,143.7,1000,2500,1750,"08 Jul 2024"
Maharashtra,Pune,Pune,Local,Vegetables,158.5,1200,5500,3350,"12 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,158.8,1000,2500,1750,"17 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,165,1000,3200,2100,"24 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,165.1,600,1200,900,"03 Dec 2025"
Maharashtra,Pune,Pune,Local,Vegetables,168.4,1000,3000,2000,"17 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,172.5,1000,3500,2250,"01 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,184.6,1500,5000,3250,"07 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,188.7,600,1400,1000,"28 Feb 2024"
Maharashtra,Pune,Pune,Local,Vegetables,202.2,1000,2200,1600,"10 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,204.7,600,1500,1050,"12 Mar 2024"
Maharashtra,Pune,Pune,Local,Vegetables,213.5,1000,1800,1400,"14 Aug 2024"
Maharashtra,Pune,Pune,Local,Vegetables,215,600,2500,1550,"15 Nov 2024"
Maharashtra,Pune,Pune,Local,Vegetables,217,800,2500,1650,"13 Sep 2024"
Maharashtra,Pune,Pune,Local,Vegetables,218.3,600,2000,1300,"23 May 2024"
Maharashtra,Pune,Pune,Local,Vegetables,226.9,800,1800,1300,"05 Apr 2024"
Maharashtra,Pune,Pune,Local,Vegetables,230,600,1200,900,"06 Oct 2024"
Maharashtra,Pune,Pune,Local,Vegetables,241.4,1400,6000,3700,"21 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,241.8,400,1200,800,"29 Jan 2025"
Maharashtra,Pune,Pune,Local,Vegetables,249.5,6000,15000,10500,"23 Aug 2025"
Maharashtra,Pune,Pune,Local,Vegetables,302.4,700,2500,1600,"05 Jan 2024"
Maharashtra,Pune,Pune,Local,Vegetables,389.8,500,1500,1000,"02 Dec 2025"
