State Name,"District Name","Market Name",Variety,Group,"Arrivals (Tonnes)","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Reported Date"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.70,4000,5000,4500,"28 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,42.10,4000,5000,4500,"05 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.10,4000,5000,4500,"16 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.50,4000,4900,4450,"20 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.00,4500,5500,5000,"24 Apr 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.30,4000,4900,4450,"23 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.50,3800,4900,4350,"11 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.50,4200,5200,4700,"15 Apr 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.20,4000,4800,4400,"07 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.40,4000,5000,4500,"06 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.90,4000,5000,4500,"24 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.10,4200,5200,4700,"22 Apr 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.80,4000,4800,4400,"02 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.70,4000,5000,4500,"13 Apr 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.20,4200,5200,4700,"19 Apr 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.20,4000,5000,4500,"19 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.00,4000,5000,4500,"01 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,257.40,3200,4400,3800,"09 Aug 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.60,4000,4900,4450,"13 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,42.40,4000,5000,4500,"03 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.40,4000,4900,4450,"08 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,39.90,4000,4700,4350,"10 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.20,4000,4800,4400,"09 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.70,3800,5000,4400,"10 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.10,4000,4800,4400,"12 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.40,4000,5000,4500,"03 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.40,4000,5000,4500,"13 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.10,4000,4800,4400,"04 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,42.00,4000,5000,4500,"09 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.90,4000,5000,4500,"17 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.70,4000,5000,4500,"11 Jan 2025"
Maharashtra,Pune,Pune,Sharbati,Cereals,40.70,4000,4900,4450,"18 Dec 2024"
Maharashtra,Pune,Pune,Sharbati,Cereals,41.50,3200,4000,3600,"07 Jun 2024"
