State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator,Rolling_Modal_Price,Lag_1_Month,Lag_2_Months,Price_Change_Rate
Maharashtra,Pune,Pune,Other,Vegetables,0.6,1400,1700,1550,2024-09-25,211,300,0.00038684719535783365,1550.0,1550.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,12.9,3000,8000,5500,2024-12-15,292,5000,0.0023450281766951462,3525.0,1550.0,1550.0,2.5483870967741935
Maharashtra,Pune,Pune,Other,Vegetables,24.7,1000,2500,1750,2024-09-26,212,1500,0.014106225014277555,2933.3333333333335,1550.0,1550.0,-0.6818181818181819
Maharashtra,Pune,Pune,Other,Vegetables,25.4,1000,4000,2500,2024-11-05,252,3000,0.010155937624950019,2825.0,1550.0,1550.0,0.4285714285714286
Maharashtra,Pune,Pune,Other,Vegetables,26.1,1000,4000,2500,2024-11-04,251,3000,0.010435825669732108,2760.0,1550.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,26.4,1000,3500,2250,2024-10-31,247,2500,0.011728120835184363,2675.0,1550.0,1550.0,-0.09999999999999998
Maharashtra,Pune,Pune,Other,Vegetables,28.1,1000,2500,1750,2024-09-03,189,1500,0.01604797258709309,2542.8571428571427,1550.0,1550.0,-0.2222222222222222
Maharashtra,Pune,Pune,Other,Vegetables,28.1,1000,4000,2500,2024-11-06,253,3000,0.011235505797680928,2537.5,1550.0,1550.0,0.4285714285714286
Maharashtra,Pune,Pune,Other,Vegetables,28.8,1000,3000,2000,2024-10-28,244,2000,0.0143928035982009,2477.777777777778,1550.0,1550.0,-0.19999999999999996
Maharashtra,Pune,Pune,Other,Vegetables,30.1,1000,2000,1500,2024-08-19,174,1000,0.02005329780146569,2380.0,1550.0,1550.0,-0.25
Maharashtra,Pune,Pune,Other,Vegetables,30.1,1000,2500,1750,2024-05-07,70,1500,0.017190177041690465,2322.7272727272725,1550.0,1550.0,0.16666666666666674
Maharashtra,Pune,Pune,Other,Vegetables,30.1,1000,3000,2000,2024-10-21,237,2000,0.01504247876061969,2295.8333333333335,1550.0,1550.0,0.1428571428571428
Maharashtra,Pune,Pune,Other,Vegetables,30.6,1000,3500,2250,2024-10-30,246,2500,0.013593958240781875,2292.3076923076924,1550.0,1550.0,0.125
Maharashtra,Pune,Pune,Other,Vegetables,31.6,1200,2200,1700,2024-07-09,133,1000,0.018577307466196357,2250.0,1550.0,1550.0,-0.24444444444444446
Maharashtra,Pune,Pune,Other,Vegetables,31.9,1000,3500,2250,2024-10-24,240,2500,0.014171479342514438,2250.0,1550.0,1550.0,0.32352941176470584
Maharashtra,Pune,Pune,Other,Vegetables,32.5,1000,3000,2000,2024-09-09,195,2000,0.016241879060469765,2234.375,1550.0,1550.0,-0.11111111111111116
Maharashtra,Pune,Pune,Other,Vegetables,33.6,1000,4000,2500,2024-11-11,258,3000,0.013434626149540184,2250.0,1550.0,1550.0,0.25
Maharashtra,Pune,Pune,Other,Vegetables,34.3,1500,5000,3250,2024-11-15,262,3500,0.010550599815441401,2305.5555555555557,1550.0,1550.0,0.30000000000000004
Maharashtra,Pune,Pune,Other,Vegetables,35.5,1000,2500,1750,2024-08-27,182,1500,0.02027412906910337,2276.315789473684,1550.0,1550.0,-0.46153846153846156
Maharashtra,Pune,Pune,Other,Vegetables,35.6,1000,2000,1500,2024-08-21,176,1000,0.023717521652231847,2237.5,1550.0,1550.0,-0.1428571428571429
Maharashtra,Pune,Pune,Other,Vegetables,35.6,1000,5000,3000,2024-11-18,265,4000,0.011862712429190271,2273.809523809524,1550.0,1550.0,1.0
Maharashtra,Pune,Pune,Other,Vegetables,35.8,1000,2000,1500,2024-10-29,245,1000,0.023850766155896066,2238.6363636363635,1550.0,1550.0,-0.5
Maharashtra,Pune,Pune,Other,Vegetables,36.0,1000,2500,1750,2024-10-07,223,1500,0.020559680182752713,2217.391304347826,1550.0,1550.0,0.16666666666666674
Maharashtra,Pune,Pune,Other,Vegetables,36.4,1000,4000,2500,2024-10-03,219,3000,0.014554178328668533,2229.1666666666665,1550.0,1550.0,0.4285714285714286
Maharashtra,Pune,Pune,Other,Vegetables,36.5,1000,3500,2250,2024-10-22,238,2500,0.016215015548645045,2230.0,1550.0,1550.0,-0.09999999999999998
Maharashtra,Pune,Pune,Other,Vegetables,36.5,1000,4000,2500,2024-11-14,261,3000,0.014594162335065974,2240.3846153846152,1550.0,1550.0,0.11111111111111116
Maharashtra,Pune,Pune,Other,Vegetables,37.7,1000,2500,1750,2024-06-10,104,1500,0.021530553969160482,2222.222222222222,1550.0,1550.0,-0.30000000000000004
Maharashtra,Pune,Pune,Other,Vegetables,38.4,1000,2200,1600,2024-07-10,134,1200,0.023985009369144283,2200.0,1550.0,1550.0,-0.08571428571428574
Maharashtra,Pune,Pune,Other,Vegetables,38.5,1000,3000,2000,2024-10-16,232,2000,0.01924037981009495,2193.103448275862,1550.0,1550.0,0.25
Maharashtra,Pune,Pune,Other,Vegetables,38.6,1000,2500,1750,2024-05-16,79,1500,0.022044545973729297,2178.3333333333335,1550.0,1550.0,-0.125
Maharashtra,Pune,Pune,Other,Vegetables,38.8,1000,2500,1750,2024-05-21,84,1500,0.022158766419189034,2185.0,1550.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,38.9,1000,2500,1750,2024-06-04,98,1500,0.022215876641918902,2060.0,5500.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,39.0,1000,2200,1600,2024-05-08,71,1200,0.024359775140537165,2055.0,1750.0,1550.0,-0.08571428571428574
Maharashtra,Pune,Pune,Other,Vegetables,39.2,1000,4000,2500,2024-11-03,250,3000,0.01567373050779688,2055.0,2500.0,1550.0,0.5625
Maharashtra,Pune,Pune,Other,Vegetables,39.4,1500,4000,2750,2024-11-13,260,2500,0.014322064703744093,2063.3333333333335,2500.0,1550.0,0.10000000000000009
Maharashtra,Pune,Pune,Other,Vegetables,39.5,1000,5000,3000,2024-11-07,254,4000,0.013162279240253249,2088.3333333333335,2250.0,1550.0,0.09090909090909083
Maharashtra,Pune,Pune,Other,Vegetables,39.7,1000,2500,1750,2024-07-29,153,1500,0.022672758423757853,2088.3333333333335,1750.0,1550.0,-0.41666666666666663
Maharashtra,Pune,Pune,Other,Vegetables,40.0,500,3000,1750,2024-10-09,225,2500,0.022844089091947458,2063.3333333333335,2500.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,40.2,1000,3000,2000,2024-06-26,120,2000,0.020089955022488757,2063.3333333333335,2000.0,1550.0,0.1428571428571428
Maharashtra,Pune,Pune,Other,Vegetables,40.2,1000,3200,2100,2024-05-20,83,2200,0.019133745835316518,2083.3333333333335,1500.0,1550.0,0.050000000000000044
Maharashtra,Pune,Pune,Other,Vegetables,40.3,1000,2500,1750,2024-06-24,118,1500,0.023015419760137063,2083.3333333333335,1750.0,1550.0,-0.16666666666666663
Maharashtra,Pune,Pune,Other,Vegetables,41.7,1000,2500,1750,2024-08-26,181,1500,0.023814962878355227,2075.0,2000.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,42.2,1000,2500,1750,2024-05-15,78,1500,0.02410051399200457,2058.3333333333335,2250.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,42.6,1000,2200,1600,2024-05-30,93,1200,0.02660836976889444,2055.0,1700.0,1550.0,-0.08571428571428574
Maharashtra,Pune,Pune,Other,Vegetables,42.9,500,2200,1350,2024-07-18,142,1700,0.03175425610658771,2025.0,2250.0,1550.0,-0.15625
Maharashtra,Pune,Pune,Other,Vegetables,43.0,1500,5500,3500,2024-11-21,268,4000,0.01228220508426164,2075.0,2000.0,1550.0,1.5925925925925926
Maharashtra,Pune,Pune,Other,Vegetables,43.1,1000,2500,1750,2024-06-06,100,1500,0.024614505996573388,2050.0,2500.0,1550.0,-0.5
Maharashtra,Pune,Pune,Other,Vegetables,43.2,1000,2200,1600,2024-04-25,58,1200,0.026983135540287324,1995.0,3250.0,1550.0,-0.08571428571428574
Maharashtra,Pune,Pune,Other,Vegetables,43.3,1000,3000,2000,2024-10-17,233,2000,0.0216391804097951,2003.3333333333333,1750.0,1550.0,0.25
Maharashtra,Pune,Pune,Other,Vegetables,43.4,1000,2600,1800,2024-09-12,198,1600,0.024097723486951692,2013.3333333333333,1500.0,1550.0,-0.09999999999999998
Maharashtra,Pune,Pune,Other,Vegetables,43.4,1000,3000,2000,2024-09-30,216,2000,0.021689155422288855,1980.0,3000.0,1550.0,0.11111111111111116
Maharashtra,Pune,Pune,Other,Vegetables,44.0,1400,3500,2450,2024-11-01,248,2100,0.01795185638514892,2011.6666666666667,1500.0,1550.0,0.2250000000000001
Maharashtra,Pune,Pune,Other,Vegetables,44.4,1000,2000,1500,2024-07-23,147,1000,0.029580279813457695,2003.3333333333333,1750.0,1550.0,-0.3877551020408163
Maharashtra,Pune,Pune,Other,Vegetables,44.5,1000,2500,1750,2024-05-29,92,1500,0.02541404911479155,1978.3333333333333,2500.0,1550.0,0.16666666666666674
Maharashtra,Pune,Pune,Other,Vegetables,44.6,1000,2500,1750,2024-07-01,125,1500,0.025471159337521417,1961.6666666666667,2250.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,45.0,1000,2000,1500,2024-05-23,86,1000,0.029980013324450366,1928.3333333333333,2500.0,1550.0,-0.1428571428571429
Maharashtra,Pune,Pune,Other,Vegetables,45.6,1000,4000,2500,2024-11-12,259,3000,0.018232706917233107,1953.3333333333333,1750.0,1550.0,0.6666666666666667
Maharashtra,Pune,Pune,Other,Vegetables,45.8,1000,2200,1600,2024-06-03,97,1200,0.028607120549656462,1953.3333333333333,1600.0,1550.0,-0.36
Maharashtra,Pune,Pune,Other,Vegetables,46.0,1000,2500,1750,2024-06-17,111,1500,0.026270702455739578,1945.0,2000.0,1550.0,0.09375
Maharashtra,Pune,Pune,Other,Vegetables,46.4,1000,2200,1600,2024-08-05,160,1200,0.02898188632104934,1940.0,1750.0,1550.0,-0.08571428571428574
Maharashtra,Pune,Pune,Other,Vegetables,46.5,1000,2200,1600,2024-07-17,141,1200,0.029044347282948156,1935.0,1750.0,1550.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,46.6,1000,2200,1600,2024-04-24,57,1200,0.02910680824484697,1930.0,1750.0,5500.0,0.0
Maharashtra,Pune,Pune,Other,Vegetables,46.8,1000,2500,1750,2024-06-19,113,1500,0.026727584237578525,1935.0,1600.0,1750.0,0.09375
Maharashtra,Pune,Pune,Other,Vegetables,46.9,1000,2500,1750,2024-06-12,106,1500,0.026784694460308393,1910.0,2500.0,2500.0,0.0
