State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator,Rolling_Modal_Price,Lag_1_Month,Lag_2_Months,Price_Change_Rate
Maharashtra, Pune, Pune, Local, Vegetables,1103.0,400,1400,900,2024-05-17,136,1000,1.2241953385127635,900.0,900.0,900.0,0.0
Maharashtra, Pune, Pune, Local, Vegetables,1541.3,600,2000,1300,2024-06-02,152,1400,1.1847040737893928,1100.0,900.0,900.0,0.4444444444444444
Maharashtra, Pune, Pune, Local, Vegetables,1174.0,800,2400,1600,2024-05-29,148,1600,0.7332916926920675,1266.6666666666667,900.0,900.0,0.23076923076923084
Maharashtra, Pune, Pune, Local, Vegetables,793.6,800,2400,1600,2024-10-18,290,1600,0.4956901936289819,1350.0,900.0,900.0,0.0
Maharashtra, Pune, Pune, Local, Vegetables,1352.3,2000,4600,3300,2024-10-29,301,2600,0.409663738261133,1740.0,900.0,900.0,1.0625
Maharashtra, Pune, Pune, Local, Vegetables,1410.0,1600,4800,3200,2024-05-27,146,3200,0.44048734770384257,1983.3333333333333,900.0,900.0,-0.030303030303030276
Maharashtra, Pune, Pune, Local, Vegetables,869.2,800,2200,1500,2024-07-16,196,1400,0.5790806129247169,1914.2857142857142,900.0,900.0,-0.53125
Maharashtra, Pune, Pune, Local, Vegetables,806.7,1300,3100,2200,2024-11-17,320,1800,0.3665152203543844,1950.0,900.0,900.0,0.46666666666666656
Maharashtra, Pune, Pune, Local, Vegetables,1310.4,2200,6000,4100,2024-02-13,42,3800,0.31953182150694953,2188.8888888888887,900.0,900.0,0.8636363636363635
Maharashtra, Pune, Pune, Local, Vegetables,1221.6,1500,3000,2250,2025-12-02,700,1500,0.5426921368280764,2195.0,900.0,900.0,-0.4512195121951219
Maharashtra, Pune, Pune, Local, Vegetables,1315.9,2000,6500,4250,2024-07-22,202,4500,0.3095506939543637,2381.818181818182,900.0,900.0,0.8888888888888888
Maharashtra, Pune, Pune, Local, Vegetables,737.8,1200,3000,2100,2024-03-05,63,1800,0.35116611137553544,2358.3333333333335,900.0,900.0,-0.5058823529411764
Maharashtra, Pune, Pune, Local, Vegetables,1830.8,600,1800,1200,2024-06-14,164,1200,1.5243963363863446,2269.230769230769,900.0,900.0,-0.4285714285714286
Maharashtra, Pune, Pune, Local, Vegetables,1022.7,800,3000,1900,2024-03-15,73,2200,0.5379800105207786,2242.8571428571427,900.0,900.0,0.5833333333333333
Maharashtra, Pune, Pune, Local, Vegetables,2338.0,600,1800,1200,2024-08-27,238,1200,1.9467110741049125,2173.3333333333335,900.0,900.0,-0.368421052631579
Maharashtra, Pune, Pune, Local, Vegetables,999.9,2500,4100,3300,2024-06-13,163,1600,0.3029082096334444,2243.75,900.0,900.0,1.75
Maharashtra, Pune, Pune, Local, Vegetables,795.2,1000,3000,2000,2024-04-16,105,2000,0.39740129935032487,2229.4117647058824,900.0,900.0,-0.3939393939393939
Maharashtra, Pune, Pune, Local, Vegetables,1238.2,500,1500,1000,2024-05-31,150,1000,1.236963036963037,2161.1111111111113,900.0,900.0,-0.5
Maharashtra, Pune, Pune, Local, Vegetables,1060.7,900,2500,1700,2024-09-25,267,1600,0.6235743680188125,2136.842105263158,900.0,900.0,0.7
Maharashtra, Pune, Pune, Local, Vegetables,888.8,3000,4800,3900,2024-01-08,6,1800,0.22783901563701614,2225.0,900.0,900.0,1.2941176470588234
Maharashtra, Pune, Pune, Local, Vegetables,1167.7,1400,3000,2200,2025-03-19,442,1600,0.5305315765561108,2223.809523809524,900.0,900.0,-0.4358974358974359
Maharashtra, Pune, Pune, Local, Vegetables,1683.4,400,1400,900,2024-12-01,334,1000,1.8683684794672586,2163.6363636363635,900.0,900.0,-0.5909090909090908
Maharashtra, Pune, Pune, Local, Vegetables,1683.9,700,2300,1500,2024-01-13,11,1600,1.1218520986009328,2134.782608695652,900.0,900.0,0.6666666666666667
Maharashtra, Pune, Pune, Local, Vegetables,641.9,1400,2500,2050,2025-11-04,672,1100,0.3129692832764505,2131.25,900.0,900.0,0.3666666666666667
Maharashtra, Pune, Pune, Local, Vegetables,670.1,2000,5500,3750,2024-12-23,356,3500,0.1786456944814716,2196.0,900.0,900.0,0.8292682926829269
Maharashtra, Pune, Pune, Local, Vegetables,1422.6,1500,3000,2250,2024-02-14,43,1500,0.6319857840959573,2198.076923076923,900.0,900.0,-0.4
Maharashtra, Pune, Pune, Local, Vegetables,1586.3,1600,3200,2400,2025-06-21,536,1600,0.660683048729696,2205.5555555555557,900.0,900.0,0.06666666666666665
Maharashtra, Pune, Pune, Local, Vegetables,1120.4,800,3000,1900,2024-08-09,220,2200,0.5893740136770121,2194.6428571428573,900.0,900.0,-0.20833333333333337
Maharashtra, Pune, Pune, Local, Vegetables,1146.3,1600,3200,2400,2024-06-23,173,1600,0.47742607246980423,2201.7241379310344,900.0,900.0,0.26315789473684204
Maharashtra, Pune, Pune, Local, Vegetables,1296.5,800,3000,1900,2024-03-07,65,2200,0.6820094687006838,2191.6666666666665,900.0,900.0,-0.20833333333333337
Maharashtra, Pune, Pune, Local, Vegetables,1950.5,600,1800,1200,2024-07-17,197,1200,1.6240632805995003,2201.6666666666665,900.0,900.0,-0.368421052631579
Maharashtra, Pune, Pune, Local, Vegetables,675.3,1200,3100,2150,2024-10-01,273,1900,0.3139470013947001,2230.0,1300.0,900.0,0.7916666666666667
Maharashtra, Pune, Pune, Local, Vegetables,818.5,2500,4200,3350,2024-11-10,313,1700,0.24425544613548195,2288.3333333333335,1600.0,900.0,0.558139534883721
Maharashtra, Pune, Pune, Local, Vegetables,1547.9,2200,6500,4350,2024-01-03,1,4300,0.3557572971730637,2380.0,1600.0,900.0,0.29850746268656714
Maharashtra, Pune, Pune, Local, Vegetables,1511.2,1600,3500,2550,2025-02-20,415,1900,0.5923951391611133,2355.0,3300.0,900.0,-0.4137931034482759
Maharashtra, Pune, Pune, Local, Vegetables,1909.3,1400,2700,2050,2025-03-13,436,1300,0.9309117503656753,2316.6666666666665,3200.0,900.0,-0.196078431372549
Maharashtra, Pune, Pune, Local, Vegetables,1743.5,600,1800,1200,2024-03-27,85,1200,1.451706910907577,2306.6666666666665,1500.0,900.0,-0.41463414634146345
Maharashtra, Pune, Pune, Local, Vegetables,1301.6,500,1700,1100,2024-06-24,174,1200,1.1821980018165303,2270.0,2200.0,900.0,-0.08333333333333337
Maharashtra, Pune, Pune, Local, Vegetables,774.2,1000,3000,2000,2024-06-16,166,2000,0.3869065467266367,2200.0,4100.0,900.0,0.8181818181818181
Maharashtra, Pune, Pune, Local, Vegetables,1172.4,800,3000,1900,2024-09-06,248,2200,0.6167280378748028,2188.3333333333335,2250.0,900.0,-0.050000000000000044
Maharashtra, Pune, Pune, Local, Vegetables,1149.5,3200,4500,3850,2024-01-15,13,1300,0.298493897688912,2175.0,4250.0,900.0,1.026315789473684
Maharashtra, Pune, Pune, Local, Vegetables,958.9,1400,2600,2000,2025-07-12,557,1200,0.4792103948025987,2171.6666666666665,2100.0,900.0,-0.48051948051948057
Maharashtra, Pune, Pune, Local, Vegetables,1065.0,1200,3100,2150,2024-01-21,19,1900,0.49511854951185497,2203.3333333333335,1200.0,900.0,0.07499999999999996
Maharashtra, Pune, Pune, Local, Vegetables,1441.6,1400,3200,2300,2025-06-05,520,1800,0.6265102129508909,2216.6666666666665,1900.0,900.0,0.06976744186046502
Maharashtra, Pune, Pune, Local, Vegetables,496.4,800,2600,1700,2024-10-13,285,1800,0.2918283362727807,2233.3333333333335,1200.0,900.0,-0.26086956521739135
Maharashtra, Pune, Pune, Local, Vegetables,905.0,2000,4500,3250,2024-01-30,28,2500,0.278375884343279,2231.6666666666665,3300.0,900.0,0.911764705882353
Maharashtra, Pune, Pune, Local, Vegetables,1364.7,1200,2500,1850,2025-12-02,700,1300,0.7372771474878445,2226.6666666666665,2000.0,900.0,-0.4307692307692308
Maharashtra, Pune, Pune, Local, Vegetables,1164.2,2000,4500,3250,2024-03-26,84,2500,0.35810519840049215,2301.6666666666665,1000.0,900.0,0.7567567567567568
Maharashtra, Pune, Pune, Local, Vegetables,1358.9,500,1800,1150,2024-02-16,45,1300,1.1806255430060817,2283.3333333333335,1700.0,900.0,-0.6461538461538461
Maharashtra, Pune, Pune, Local, Vegetables,2103.0,1500,3500,2500,2025-09-03,610,2000,0.8408636545381847,2236.6666666666665,3900.0,900.0,1.1739130434782608
Maharashtra, Pune, Pune, Local, Vegetables,742.1,3200,4600,3900,2024-09-16,258,1400,0.19023327351961036,2293.3333333333335,2200.0,900.0,0.56
Maharashtra, Pune, Pune, Local, Vegetables,935.3,3600,5200,4400,2024-04-04,93,1600,0.2125198818450352,2410.0,900.0,900.0,0.1282051282051282
Maharashtra, Pune, Pune, Local, Vegetables,1396.7,500,1600,1050,2024-12-29,362,1100,1.3289248334919126,2395.0,1500.0,900.0,-0.7613636363636364
Maharashtra, Pune, Pune, Local, Vegetables,1718.6,1500,3300,2400,2024-11-28,331,1800,0.7157850895460225,2406.6666666666665,2050.0,900.0,1.2857142857142856
Maharashtra, Pune, Pune, Local, Vegetables,1047.4,2500,6500,4500,2024-07-09,189,4000,0.2327038435903133,2431.6666666666665,3750.0,900.0,0.875
Maharashtra, Pune, Pune, Local, Vegetables,669.9,1100,3100,2100,2024-09-17,259,2000,0.318848167539267,2426.6666666666665,2250.0,900.0,-0.5333333333333333
Maharashtra, Pune, Pune, Local, Vegetables,646.3,3500,4800,4150,2024-05-23,142,1300,0.15569742230787761,2485.0,2400.0,900.0,0.9761904761904763
Maharashtra, Pune, Pune, Local, Vegetables,920.3,700,2100,1400,2024-11-26,329,1400,0.656887937187723,2468.3333333333335,1900.0,900.0,-0.6626506024096386
Maharashtra, Pune, Pune, Local, Vegetables,1004.8,2500,7000,4750,2024-12-11,344,4500,0.2114923174068617,2546.6666666666665,2400.0,900.0,2.392857142857143
Maharashtra, Pune, Pune, Local, Vegetables,1214.2,2000,5200,3600,2024-02-29,58,3200,0.3371841155234657,2603.3333333333335,1900.0,900.0,-0.2421052631578947
Maharashtra, Pune, Pune, Local, Vegetables,1924.0,600,1800,900,2024-08-01,212,1200,2.1354051054384016,2593.3333333333335,1200.0,900.0,-0.75
Maharashtra, Pune, Pune, Local, Vegetables,962.9,1200,3000,2100,2024-12-10,343,1800,0.458305568776773,2591.6666666666665,2150.0,1300.0,1.3333333333333335
Maharashtra, Pune, Pune, Local, Vegetables,1161.6,2500,7000,4750,2024-11-07,310,4500,0.2444958956009261,2638.3333333333335,3350.0,1600.0,1.2619047619047619
Maharashtra, Pune, Pune, Local, Vegetables,957.5,2500,6500,4500,2024-12-13,346,4000,0.2127305043323706,2643.3333333333335,4350.0,1600.0,-0.052631578947368474
Maharashtra, Pune, Pune, Local, Vegetables,1750.2,2000,7000,4500,2024-05-22,141,5000,0.3888469229060209,2708.3333333333335,2550.0,3300.0,0.0
Maharashtra, Pune, Pune, Local, Vegetables,911.1,700,2100,1400,2024-12-08,341,1400,0.650321199143469,2686.6666666666665,2050.0,3200.0,-0.6888888888888889
Maharashtra, Pune, Pune, Local, Vegetables,1617.0,2500,7000,4750,2024-02-24,53,4500,0.3403494001262892,2805.0,1200.0,1500.0,2.392857142857143
Maharashtra, Pune, Pune, Local, Vegetables,1303.9,1400,2600,2000,2025-09-10,617,1200,0.651624187906047,2835.0,1100.0,2200.0,-0.5789473684210527
Maharashtra, Pune, Pune, Local, Vegetables,981.7,3000,4400,3600,2024-09-27,269,1400,0.2726187170230492,2888.3333333333335,2000.0,4100.0,0.8
Maharashtra, Pune, Pune, Local, Vegetables,888.2,3000,4800,3900,2024-03-24,82,1800,0.22768520892078956,2955.0,1900.0,2250.0,0.08333333333333326
