State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator,Rolling_Modal_Price,Lag_1_Month,Lag_2_Months,Price_Change_Rate
Maharashtra,Pune,Pune,Local,Vegetables,116.8,600,2500,1550,2024-06-17,167,1900,0.07530625402965828,1550.0,1550.0,1550.0,0.0
Maharashtra,Pune,Pune,Local,Vegetables,133.2,2000,4000,3000,2024-06-20,170,2000,0.04438520493168943,2275.0,1550.0,1550.0,0.935483870967742
Maharashtra,Pune,Pune,Local,Vegetables,138.6,2500,5000,3750,2024-05-29,148,2500,0.03695014662756598,2766.6666666666665,1550.0,1550.0,0.25
Maharashtra,Pune,Pune,Local,Vegetables,144.0,1000,2200,1600,2024-10-21,293,1200,0.08994378513429106,2475.0,1550.0,1550.0,-0.5733333333333333
Maharashtra,Pune,Pune,Local,Vegetables,161.3,1000,4500,2750,2024-03-18,76,3500,0.058633224282079247,2530.0,1550.0,1550.0,0.71875
Maharashtra,Pune,Pune,Local,Vegetables,170.8,1000,1600,1300,2024-10-28,300,600,0.1312836279784781,2325.0,1550.0,1550.0,-0.5272727272727273
Maharashtra,Pune,Pune,Local,Vegetables,179.2,600,3000,1800,2024-01-23,21,2400,0.09950027762354247,2250.0,1550.0,1550.0,0.3846153846153846
Maharashtra,Pune,Pune,Local,Vegetables,196.5,500,1200,850,2025-03-15,438,700,0.2309048178613396,2075.0,1550.0,1550.0,-0.5277777777777778
Maharashtra,Pune,Pune,Local,Vegetables,206.4,1000,1800,1400,2024-08-01,212,800,0.14732334047109208,2000.0,1550.0,1550.0,0.6470588235294117
Maharashtra,Pune,Pune,Local,Vegetables,220.5,600,2500,1550,2024-05-15,134,1900,0.14216634429400388,1955.0,1550.0,1550.0,0.1071428571428572
Maharashtra,Pune,Pune,Local,Vegetables,232.3,600,1400,1000,2024-11-08,311,800,0.23206793206793208,1868.1818181818182,1550.0,1550.0,-0.3548387096774194
Maharashtra,Pune,Pune,Local,Vegetables,261.1,600,2000,1300,2024-10-07,279,1400,0.20069177555726367,1820.8333333333333,1550.0,1550.0,0.30000000000000004
Maharashtra,Pune,Pune,Local,Vegetables,109.5,1500,6000,3750,2024-07-22,202,4500,0.029192215409224207,1969.2307692307693,1550.0,1550.0,1.8846153846153846
Maharashtra,Pune,Pune,Local,Vegetables,118.7,2500,6500,4500,2024-10-02,274,4000,0.026371917351699622,2150.0,1550.0,1550.0,0.19999999999999996
Maharashtra,Pune,Pune,Local,Vegetables,136.4,1000,4500,2750,2024-10-10,282,3500,0.04958197019265722,2190.0,1550.0,1550.0,-0.38888888888888884
Maharashtra,Pune,Pune,Local,Vegetables,165.7,1500,4500,3000,2024-08-20,231,3000,0.05521492835721426,2240.625,1550.0,1550.0,0.09090909090909083
Maharashtra,Pune,Pune,Local,Vegetables,173.1,1000,3000,2000,2024-04-19,108,2000,0.08650674662668666,2226.470588235294,1550.0,1550.0,-0.33333333333333337
Maharashtra,Pune,Pune,Local,Vegetables,176.6,600,1400,1000,2024-09-12,254,800,0.17642357642357642,2158.3333333333335,1550.0,1550.0,-0.5
Maharashtra,Pune,Pune,Local,Vegetables,176.6,600,2000,1300,2024-12-24,357,1400,0.13574173712528823,2113.157894736842,1550.0,1550.0,0.30000000000000004
Maharashtra,Pune,Pune,Local,Vegetables,191.5,1000,2500,1750,2024-05-28,147,1500,0.10936607652769846,2095.0,1550.0,1550.0,0.34615384615384626
Maharashtra,Pune,Pune,Local,Vegetables,191.6,1000,2200,1600,2024-02-27,56,1200,0.11967520299812617,2071.4285714285716,1550.0,1550.0,-0.08571428571428574
